doc_id,company,doctype,title,publish_date,url,final_url,source_domain,section,topic,persona_tags,language,word_count,token_count,ingestion_ts,hash_sha256
crm::press::2023-08-04::salesforce-launches-byom-to-make-it-easy-for-businesses-to-use-proprietary-data-::61063b9d,Salesforce,press,Salesforce Launches BYOM to Make It Easy for Businesses to Use Proprietary Data to Build and Deploy AI Models,2023-08-04,https://www.salesforce.com/news/stories/einstein-studio-ai-news/?bc=DB,https://www.salesforce.com/news/stories/einstein-studio-ai-news/?bc=DB,www.salesforce.com,body,Agentforce|Data Cloud|Earnings|Partnership|Compliance|GenAI|Industry Solutions|Platform|AI,"cio,vp_customer_experience,vp_sales_ops",en,1724,2139,2025-09-08T00:13:16.572649+00:00,a4e9c84719ad10ba97e4b9e85663aef845223aff60a86a986d6b2b919aee3715
crm::press::2023-08-09::new-slack-user-experience-designed-for-focus-and-productivity::100cc924,Salesforce,press,New Slack User Experience Designed for Focus and Productivity,2023-08-09,https://www.salesforce.com/news/stories/slack-redesign-availability/?bc=DB,https://www.salesforce.com/news/stories/slack-redesign-availability/?bc=DB,www.salesforce.com,body,Partnership|Executive|Platform,"cio,vp_sales_ops",en,980,1141,2025-09-08T00:13:16.643496+00:00,63808eb35f6dfaffbbeeb8c50c16e1a1bb04231700bcb1574e1c57769573ec08
crm::press::2023-08-16::chief-scientist-for-salesforce-ai-offers-a-glimpse-into-the-future-of-generative::5e9a5da9,Salesforce,press,Chief Scientist for Salesforce AI Offers a Glimpse into the Future of Generative AI,2023-08-16,https://www.salesforce.com/news/stories/generative-ai-research-team-salesforce/?bc=DB,https://www.salesforce.com/news/stories/generative-ai-research-team-salesforce/?bc=DB,www.salesforce.com,body,Agentforce|Earnings|Partnership|Executive|Security|Compliance|GenAI|Platform|AI,"cio,vp_sales_ops",en,1165,1456,2025-09-08T00:13:16.761133+00:00,c012b640850779fe7708d1d2a424e2739245eb23406003d1dc41b5aa99ef8110
crm::press::2023-08-18::1-in-6-shoppers-have-used-generative-ai-for-purchase-inspiration-salesforce-repo::d8efeaa7,Salesforce,press,1 in 6 Shoppers Have Used Generative AI for Purchase Inspiration - Salesforce Report,2023-08-18,https://www.salesforce.com/news/stories/trends-in-retail-2023/?bc=DB,https://www.salesforce.com/news/stories/trends-in-retail-2023/?bc=DB,www.salesforce.com,body,Agentforce|Earnings|Partnership|Compliance|GenAI|Industry Solutions|Platform|AI,cio,en,1365,1739,2025-09-08T00:13:16.844154+00:00,5bdca99885bec0ec745e98f181db56da52691ef5d12577e342bab57e4ebf6206
crm::press::2023-08-24::new-salesforce-field-service-innovations-bring-the-power-of-ai-to-the-mobile-wor::c7fe8ab5,Salesforce,press,New Salesforce Field Service Innovations Bring the Power of AI to the Mobile Workforce,2023-08-24,https://www.salesforce.com/news/stories/ai-for-field-service/?bc=DB,https://www.salesforce.com/news/stories/ai-for-field-service/?bc=DB,www.salesforce.com,body,Agentforce|Data Cloud|Earnings|Partnership|Compliance|GenAI|AI,"cio,vp_customer_experience,vp_sales_ops",en,1192,1468,2025-09-08T00:13:16.932034+00:00,f2ee30a52c6bc2d1ca17585365b79716869801271d2692b1959f62e0cd7f6e50
crm::press::2023-08-28::businesses-adopting-ai-risk-a-039-trust-gap-039-with-customers-salesforce-report::76fed41b,Salesforce,press,Businesses Adopting AI Risk a &#039;Trust Gap&#039; with Customers - Salesforce Report,2023-08-28,https://www.salesforce.com/news/stories/customer-engagement-research-2023/?bc=DB,https://www.salesforce.com/news/stories/customer-engagement-research-2023/?bc=DB,www.salesforce.com,body,Agentforce|Earnings|Partnership|Security|Compliance|GenAI|Platform|AI,cio,en,1268,1592,2025-09-08T00:13:17.122290+00:00,289b665697021a0eee5b6a6952a6e3bc9ad05ce4ad6b94c15e4e27257ed18ef9
crm::press::2023-08-31::penfed-deploys-self-service-tools-boosts-productivity-with-salesforce-einstein::4610a975,Salesforce,press,"PenFed Deploys Self-Service Tools, Boosts Productivity with Salesforce Einstein",2023-08-31,https://www.salesforce.com/news/stories/penfed-generative-ai-customer/?bc=DB,https://www.salesforce.com/news/stories/penfed-generative-ai-customer/?bc=DB,www.salesforce.com,body,Agentforce|Data Cloud|Partnership|GenAI|Industry Solutions|Platform|AI,"cio,vp_customer_experience,vp_sales_ops",en,836,1068,2025-09-08T00:13:17.188680+00:00,9f78a302667a4ab0fffcd1c0b9a9daa548005667a56e192a90ab09c6dd3260f8
crm::press::2023-09-06::introducing-slack-ai-slack-lists-and-new-automation-capabilities-that-boost-prod::81c5dd37,Salesforce,press,"Introducing Slack AI, Slack Lists, and New Automation Capabilities that Boost Productivity and Transform How Teams Work",2023-09-06,https://www.salesforce.com/news/stories/slack-news-dreamforce-2023/?bc=DB,https://www.salesforce.com/news/stories/slack-news-dreamforce-2023/?bc=DB,www.salesforce.com,body,Agentforce|Earnings|Partnership|Executive|Security|Compliance|GenAI|Industry Solutions|Platform|AI,"cio,vp_sales_ops",en,1547,1864,2025-09-08T00:13:17.291791+00:00,daa3e7ab53d4e54700ebafd6608f02a46013bf5d057706cd3c934605753d432c
crm::press::2023-09-07::new-ai-usage-data-shows-who-s-using-ai-and-uncovers-a-population-of-super-users::2f093480,Salesforce,press,New AI Usage Data Shows Who’s Using AI — and Uncovers a Population of ‘Super-Users’,2023-09-07,https://www.salesforce.com/news/press-releases/2023/09/07/ai-usage-research/?bc=DB,https://www.salesforce.com/news/press-releases/2023/09/07/ai-usage-research/?bc=DB,www.salesforce.com,body,Agentforce|Data Cloud|Earnings|Partnership|GenAI|Industry Solutions|Platform|AI,"cio,vp_sales_ops",en,974,1275,2025-09-08T00:13:17.379718+00:00,c1d2ca3bbc4d0be92878f51a360c8feb72bec014a5c3db9f9f0c4c8badf6d7b4
crm::press::2023-09-11::new-study-finds-salesforce-economy-powered-by-ai-will-create-a-net-gain-of-11-6m::7f3f5e4c,Salesforce,press,"New Study Finds Salesforce Economy, Powered by AI, Will Create a Net Gain of 11.6M Jobs and $2.02T in Business Revenues Between 2022 and 2028",2023-09-11,https://www.salesforce.com/news/stories/idc-salesforce-economy-ai/?bc=DB,https://www.salesforce.com/news/stories/idc-salesforce-economy-ai/?bc=DB,www.salesforce.com,body,Agentforce|Data Cloud|Earnings|Partnership|Security|Compliance|GenAI|Platform|AI,"cio,vp_sales_ops",en,1349,1716,2025-09-08T00:13:17.514433+00:00,5823cb21c56cc304c24a5fe94fcb8c73584ca6772f7a9e7f9ce4aa8f19aa201b
crm::press::2024-01-31::news-details::9a8b3ba9,Salesforce,press,"Salesforce.com, Inc. - Salesforce Announces Strong Fourth Quarter Fiscal 2024 Results",2024-01-31,https://investor.salesforce.com/news/news-details/2024/Salesforce-Announces-Strong-Fourth-Quarter-Fiscal-2024-Results,https://investor.salesforce.com/news/news-details/2024/Salesforce-Announces-Strong-Fourth-Quarter-Fiscal-2024-Results,investor.salesforce.com,body,Earnings|Partnership|Executive|Security|Compliance|Platform|AI,cio,en,7357,10718,2025-09-08T00:13:18.730517+00:00,d41993064a4d9a4d3fae81ed00dc4612eb153cce6cc42ea8ea6e64f84a2b438e
crm::press::2024-04-25::news-details::65e3c0b7,Salesforce,press,"Salesforce.com, Inc. - Salesforce Unveils Zero Copy Partner Network, an Ecosystem Committed to Secure, Bidirectional Zero Copy Integration with Salesforce Data Cloud",2024-04-25,https://investor.salesforce.com/news/news-details/2024/Salesforce-Unveils-Zero-Copy-Partner-Network-an-Ecosystem-Committed-to-Secure-Bidirectional-Zero-Copy-Integration-with-Salesforce-Data-Cloud,https://investor.salesforce.com/news/news-details/2024/Salesforce-Unveils-Zero-Copy-Partner-Network-an-Ecosystem-Committed-to-Secure-Bidirectional-Zero-Copy-Integration-with-Salesforce-Data-Cloud,investor.salesforce.com,body,Data Cloud|Earnings|Partnership|Executive|Security|GenAI|Platform|AI,"cio,vp_sales_ops",en,2319,2764,2025-09-08T00:13:18.898128+00:00,06da207e0fa0c5ccb31a9a3d99c8d4caa43ca4b2011d5a01c8a0b58f509cce3f
crm::press::2024-04-30::news-details::05db958d,Salesforce,press,"Salesforce.com, Inc. - Salesforce Announces First Quarter Fiscal 2025 Results",2024-04-30,https://investor.salesforce.com/news/news-details/2024/Salesforce-Announces-First-Quarter-Fiscal-2025-Results,https://investor.salesforce.com/news/news-details/2024/Salesforce-Announces-First-Quarter-Fiscal-2025-Results,investor.salesforce.com,body,Earnings|Partnership|Executive|Security|Compliance|Platform|AI,cio,en,5790,8138,2025-09-08T00:13:19.616493+00:00,4690aadf6eb0b721847d06afba79beb1e1c8f474764d82afaca3e2f34be60fd7
crm::press::2024-05-22::news-details::2d2829a8,Salesforce,press,"Salesforce.com, Inc. - Salesforce Unveils New Einstein 1 Marketing and Commerce Innovations to Power the Complete Customer Journey with Unified Data and Trusted AI",2024-05-22,https://investor.salesforce.com/news/news-details/2024/Salesforce-Unveils-New-Einstein-1-Marketing-and-Commerce-Innovations-to-Power-the-Complete-Customer-Journey-with-Unified-Data-and-Trusted-AI,https://investor.salesforce.com/news/news-details/2024/Salesforce-Unveils-New-Einstein-1-Marketing-and-Commerce-Innovations-to-Power-the-Complete-Customer-Journey-with-Unified-Data-and-Trusted-AI,investor.salesforce.com,body,Data Cloud|Earnings|Partnership|Executive|Security|GenAI|Industry Solutions|Platform|AI,"cio,vp_sales_ops",en,1513,1806,2025-09-08T00:13:19.779754+00:00,296e93111aff2ecb7a1ccfa660e79cdff151641a11f6995c6e575dd0e7d936ae
crm::press::2024-07-31::news-details::9b19c384,Salesforce,press,"Salesforce.com, Inc. - Salesforce Announces Second Quarter Fiscal 2025 Results",2024-07-31,https://investor.salesforce.com/news/news-details/2024/Salesforce-Announces-Second-Quarter-Fiscal-2025-Results,https://investor.salesforce.com/news/news-details/2024/Salesforce-Announces-Second-Quarter-Fiscal-2025-Results,investor.salesforce.com,body,Agentforce|Earnings|Partnership|Executive|Security|Compliance|Platform|AI,"cio,vp_sales_ops",en,6634,9704,2025-09-08T00:13:20.831985+00:00,c9fbc78b56d4680ec268551b834689c42aaa4727bcdf31544caf3033d8c58444
crm::press::2024-09-05::news-details::e32cfe52,Salesforce,press,"Salesforce.com, Inc. - Salesforce Signs Definitive Agreement to Acquire Own Company",2024-09-05,https://investor.salesforce.com/news/news-details/2024/Salesforce-Signs-Definitive-Agreement-to-Acquire-Own-Company,https://investor.salesforce.com/news/news-details/2024/Salesforce-Signs-Definitive-Agreement-to-Acquire-Own-Company,investor.salesforce.com,body,Earnings|Partnership|Executive|Security|Compliance|Platform|AI,cio,en,1031,1218,2025-09-08T00:13:20.884750+00:00,2382bca1a5aa56e41a9f3e42fc8d248f5aa58ba05669c2633c19c370af10e4ca
crm::press::2024-09-17::news-details::630340dd,Salesforce,press,"Salesforce.com, Inc. - Salesforce Data Cloud Momentum Soars with Rising Adoption and New Innovation That Brings Trusted Data to Agentforce",2024-09-17,https://investor.salesforce.com/news/news-details/2024/Salesforce-Data-Cloud-Momentum-Soars-with-Rising-Adoption-and-New-Innovation-That-Brings-Trusted-Data-to-Agentforce,https://investor.salesforce.com/news/news-details/2024/Salesforce-Data-Cloud-Momentum-Soars-with-Rising-Adoption-and-New-Innovation-That-Brings-Trusted-Data-to-Agentforce,investor.salesforce.com,body,Agentforce|Data Cloud|Earnings|Partnership|Executive|Security|Platform|AI,"cio,vp_sales_ops",en,2398,2930,2025-09-08T00:13:20.934631+00:00,6df46ae34d8efbf897f50e6365fa661b5be3fa11a160ff96ae62445deb17c5ce
crm::press::2024-10-31::news-details::c5011c5a,Salesforce,press,"Salesforce.com, Inc. - Salesforce Announces Third Quarter Fiscal 2025 Results",2024-10-31,https://investor.salesforce.com/news/news-details/2024/Salesforce-Announces-Third-Quarter-Fiscal-2025-Results,https://investor.salesforce.com/news/news-details/2024/Salesforce-Announces-Third-Quarter-Fiscal-2025-Results,investor.salesforce.com,body,Agentforce|Earnings|Partnership|Executive|Security|Compliance|Platform|AI,cio,en,6649,9796,2025-09-08T00:13:22.797480+00:00,afb5cc70ddd311151fa97ac492da3daf93efafb4d975d80d17e06bd30cbfef98
crm::press::2024-11-20::news-details::a75c5c49,Salesforce,press,"Salesforce.com, Inc. - Salesforce Introduces Agentforce Testing Center: First-of-Its-Kind AI Agent Lifecycle Management Tooling for Testing Autonomous AI Agents at Scale",2024-11-20,https://investor.salesforce.com/news/news-details/2024/Salesforce-Introduces-Agentforce-Testing-Center-First-of-Its-Kind-AI-Agent-Lifecycle-Management-Tooling-for-Testing-Autonomous-AI-Agents-at-Scale,https://investor.salesforce.com/news/news-details/2024/Salesforce-Introduces-Agentforce-Testing-Center-First-of-Its-Kind-AI-Agent-Lifecycle-Management-Tooling-for-Testing-Autonomous-AI-Agents-at-Scale,investor.salesforce.com,body,Agentforce|Data Cloud|Earnings|Partnership|Executive|Security|GenAI|Platform|AI,"cio,vp_sales_ops",en,1394,1725,2025-09-08T00:13:22.862243+00:00,c4ba44126edd7dde8d8ef0e1b9336168a9dfff97cf22c0459337bfaccc2bcef8
crm::press::2024-11-25::how-new-digital-workers-will-lead-to-an-unlimited-age::88c1752e,Salesforce,press,How new digital workers will lead to an unlimited age,2024-11-25,https://time.com/7178872/agents-unlimited-age/,https://www.salesforce.com/news/salesforce-in-the-news/how-the-rise-of-new-digital-workers-will-lead-to-an-unlimited-age/,www.salesforce.com,body,Agentforce|Earnings|Partnership|GenAI|Industry Solutions|Platform|AI,"cio,vp_sales_ops",en,1579,1863,2025-09-08T00:13:23.028505+00:00,23d571709dd9ed314cd9724192efd3ed4f89508ae2aa3679d1dc31833c04dd7a
crm::press::2024-12-04::salesforce-data-reveals-new-cyber-week-all-time-high-314-9b-in-global-sales::3634781d,Salesforce,press,Salesforce Data Reveals New Cyber Week All-Time High: $314.9B in Global Sales,2024-12-04,https://www.salesforce.com/news/press-releases/2024/12/04/cyber-week-ai-sales/?bc=OTH,https://www.salesforce.com/news/press-releases/2024/12/04/cyber-week-ai-sales/?bc=OTH,www.salesforce.com,body,Agentforce|Data Cloud|Earnings|Partnership|GenAI|Industry Solutions|Platform|AI,cio,en,1484,1957,2025-09-08T00:13:23.279559+00:00,019ef0658049612ff81fb1d4de165a1f6b1380f23bb52798cbc02288ef4f9c69
crm::press::2024-12-04::salesforce-data-reveals-new-cyber-week-all-time-high-314-9b-in-global-sales::665ada5f,Salesforce,press,Salesforce Data Reveals New Cyber Week All-Time High: $314.9B in Global Sales,2024-12-04,https://www.salesforce.com/news/press-releases/2024/12/04/cyber-week-ai-sales/?bc=DB,https://www.salesforce.com/news/press-releases/2024/12/04/cyber-week-ai-sales/?bc=DB,www.salesforce.com,body,Agentforce|Data Cloud|Earnings|Partnership|GenAI|Industry Solutions|Platform|AI,cio,en,1484,1957,2025-09-08T00:13:23.584125+00:00,019ef0658049612ff81fb1d4de165a1f6b1380f23bb52798cbc02288ef4f9c69
crm::press::2024-12-17::introducing-agentforce-2-0-the-digital-labor-platform-for-building-a-limitless-w::601f3f45,Salesforce,press,Introducing Agentforce 2.0: The Digital Labor Platform for Building a Limitless Workforce,2024-12-17,https://www.salesforce.com/news/press-releases/2024/12/17/agentforce-2-0-announcement/?bc=DB,https://www.salesforce.com/news/press-releases/2024/12/17/agentforce-2-0-announcement/?bc=DB,www.salesforce.com,body,Agentforce|Data Cloud|Earnings|Partnership|Executive|Security|Platform|AI,"cio,vp_customer_experience,vp_sales_ops",en,3372,4287,2025-09-08T00:13:23.695699+00:00,30b644e955336100f1e7a263a6fa3c450885e30bd5e7fd51cedbb5fbc0ec42ae
crm::press::2024-12-17::introducing-agentforce-2-0-the-digital-labor-platform-for-building-a-limitless-w::64bc03ee,Salesforce,press,Introducing Agentforce 2.0: The Digital Labor Platform for Building a Limitless Workforce,2024-12-17,https://www.salesforce.com/news/press-releases/2024/12/17/agentforce-2-0-announcement/?bc=OTH,https://www.salesforce.com/news/press-releases/2024/12/17/agentforce-2-0-announcement/?bc=OTH,www.salesforce.com,body,Agentforce|Data Cloud|Earnings|Partnership|Executive|Security|Platform|AI,"cio,vp_customer_experience,vp_sales_ops",en,3372,4287,2025-09-08T00:13:23.801487+00:00,30b644e955336100f1e7a263a6fa3c450885e30bd5e7fd51cedbb5fbc0ec42ae
crm::press::2024-12-17::introducing-agentforce-2-0-the-digital-labor-platform-for-building-a-limitless-w::96d74ad9,Salesforce,press,Introducing Agentforce 2.0: The Digital Labor Platform for Building a Limitless Workforce,2024-12-17,https://www.salesforce.com/news/press-releases/2024/12/17/agentforce-2-0-announcement/,https://www.salesforce.com/news/press-releases/2024/12/17/agentforce-2-0-announcement/?bc=DB,www.salesforce.com,body,Agentforce|Data Cloud|Earnings|Partnership|Executive|Security|Platform|AI,"cio,vp_customer_experience,vp_sales_ops",en,3372,4287,2025-09-08T00:13:23.907913+00:00,30b644e955336100f1e7a263a6fa3c450885e30bd5e7fd51cedbb5fbc0ec42ae
crm::press::2025-01-06::holiday-shoppers-spend-a-record-1-2t-online-salesforce-data-shows::63c14f26,Salesforce,press,"Holiday Shoppers Spend a Record $1.2T Online, Salesforce Data Shows",2025-01-06,https://www.salesforce.com/news/press-releases/2025/01/06/2024-holiday-shopping-data/?bc=DB,https://www.salesforce.com/news/press-releases/2025/01/06/2024-holiday-shopping-data/?bc=DB,www.salesforce.com,body,Agentforce|Data Cloud|Earnings|Partnership|GenAI|Industry Solutions|Platform|AI,cio,en,1449,1903,2025-09-08T00:13:24.097038+00:00,c295b490e17a78401759bf8eaf71888dcf271c6b1604c902f38d4386bc61cadd
crm::press::2025-01-06::holiday-shoppers-spend-a-record-1-2t-online-salesforce-data-shows::d9f3e8b8,Salesforce,press,"Holiday Shoppers Spend a Record $1.2T Online, Salesforce Data Shows",2025-01-06,https://www.salesforce.com/news/press-releases/2025/01/06/2024-holiday-shopping-data/?bc=OTH,https://www.salesforce.com/news/press-releases/2025/01/06/2024-holiday-shopping-data/?bc=OTH,www.salesforce.com,body,Agentforce|Data Cloud|Earnings|Partnership|GenAI|Industry Solutions|Platform|AI,cio,en,1449,1903,2025-09-08T00:13:24.317275+00:00,c295b490e17a78401759bf8eaf71888dcf271c6b1604c902f38d4386bc61cadd
crm::press::2025-01-06::news-details::ec6a2e76,Salesforce,press,"Salesforce.com, Inc. - Holiday Shoppers Spend a Record $1.2T Online, Salesforce Data Shows",2025-01-06,https://investor.salesforce.com/news/news-details/2025/Holiday-Shoppers-Spend-a-Record-1.2T-Online-Salesforce-Data-Shows,https://investor.salesforce.com/news/news-details/2025/Holiday-Shoppers-Spend-a-Record-1.2T-Online-Salesforce-Data-Shows,investor.salesforce.com,body,Agentforce|Data Cloud|Earnings|Partnership|Executive|Security|GenAI|Industry Solutions|Platform|AI,cio,en,1219,1584,2025-09-08T00:13:24.408600+00:00,f06ba1ad8e026dd64148a999100887230b5868357f38a8dcfddeac76a5d83465
crm::press::2025-01-10::salesforce-unveils-agentforce-for-retail-to-boost-productivity-with-digital-labo::9a230d93,Salesforce,press,Salesforce Unveils Agentforce for Retail to Boost Productivity with Digital Labor and Retail Cloud to Unite In-Store and Digital Shopping,2025-01-10,https://www.salesforce.com/news/press-releases/2025/01/10/agentforce-retail-cloud-pos-announcement/?bc=DB,https://www.salesforce.com/news/press-releases/2025/01/10/agentforce-retail-cloud-pos-announcement/?bc=DB,www.salesforce.com,body,Agentforce|Data Cloud|Earnings|Partnership|GenAI|Industry Solutions|Platform|AI,"cio,vp_customer_experience,vp_sales_ops",en,1600,2053,2025-09-08T00:13:24.503284+00:00,17915b0cb0140063d9e525fec65dc1edbd52df2c024850a54a886b7f40ed1be2
crm::press::2025-01-10::salesforce-unveils-agentforce-for-retail-to-boost-productivity-with-digital-labo::afcc9d02,Salesforce,press,Salesforce Unveils Agentforce for Retail to Boost Productivity with Digital Labor and Retail Cloud to Unite In-Store and Digital Shopping,2025-01-10,https://www.salesforce.com/news/press-releases/2025/01/10/agentforce-retail-cloud-pos-announcement/?bc=OTH,https://www.salesforce.com/news/press-releases/2025/01/10/agentforce-retail-cloud-pos-announcement/?bc=OTH,www.salesforce.com,body,Agentforce|Data Cloud|Earnings|Partnership|GenAI|Industry Solutions|Platform|AI,"cio,vp_customer_experience,vp_sales_ops",en,1600,2053,2025-09-08T00:13:24.882312+00:00,17915b0cb0140063d9e525fec65dc1edbd52df2c024850a54a886b7f40ed1be2
crm::press::2025-01-31::news-details::9711c8f6,Salesforce,press,"Salesforce.com, Inc. - Salesforce Announces Fourth Quarter Fiscal 2025 Results",2025-01-31,https://investor.salesforce.com/news/news-details/2025/Salesforce-Announces-Fourth-Quarter-and-Fiscal-Year-2025-Results,https://investor.salesforce.com/news/news-details/2025/Salesforce-Announces-Fourth-Quarter-and-Fiscal-Year-2025-Results,investor.salesforce.com,body,Agentforce|Data Cloud|Earnings|Partnership|Executive|Security|Compliance|Platform|AI,"cio,vp_sales_ops",en,6582,9703,2025-09-08T00:13:25.940471+00:00,09e1976cb05a723440aff442013f3fbcff433147df13dea12325c4585793c1e8
crm::press::2025-02-05::salesforce-appoints-robin-washington-as-president-and-chief-operating-and-financ::582c6316,Salesforce,press,Salesforce Appoints Robin Washington as President and Chief Operating and Financial Officer,2025-02-05,https://www.salesforce.com/news/press-releases/2025/02/05/salesforce-appoints-robin-washington-as-president-and-chief-operating-and-financial-officer/?bc=DB,https://www.salesforce.com/news/press-releases/2025/02/05/salesforce-appoints-robin-washington-as-president-and-chief-operating-and-financial-officer/?bc=DB,www.salesforce.com,body,Agentforce|Data Cloud|Partnership|Executive|Platform|AI,cio,en,798,1061,2025-09-08T00:13:26.274755+00:00,956ec24a3b3a299afee2a6a8b38e7e82c5bb1c14e50547ba96ce4fd7e3edf71a
crm::press::2025-02-05::salesforce-appoints-robin-washington-as-president-and-chief-operating-and-financ::a014cf0d,Salesforce,press,Salesforce Appoints Robin Washington as President and Chief Operating and Financial Officer,2025-02-05,https://www.salesforce.com/news/press-releases/2025/02/05/salesforce-appoints-robin-washington-as-president-and-chief-operating-and-financial-officer/?bc=OTH,https://www.salesforce.com/news/press-releases/2025/02/05/salesforce-appoints-robin-washington-as-president-and-chief-operating-and-financial-officer/?bc=OTH,www.salesforce.com,body,Agentforce|Data Cloud|Partnership|Executive|Platform|AI,cio,en,798,1061,2025-09-08T00:13:26.421180+00:00,956ec24a3b3a299afee2a6a8b38e7e82c5bb1c14e50547ba96ce4fd7e3edf71a
