crm::10-K::2025-03-05::fy25-form-10-k::4c26cea2,10-K,chunks=129,expected=129,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2024-05-22::news-details::2d2829a8,press,chunks=3,expected=3,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2024-07-31::news-details::9b19c384,press,chunks=15,expected=15,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2024-09-05::news-details::e32cfe52,press,chunks=2,expected=2,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2024-09-17::news-details::630340dd,press,chunks=5,expected=5,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2024-10-31::news-details::c5011c5a,press,chunks=15,expected=15,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2024-11-20::news-details::a75c5c49,press,chunks=3,expected=3,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2024-11-25::how-new-digital-workers-will-lead-to-an-unlimited-age::88c1752e,press,chunks=3,expected=3,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2024-12-04::salesforce-data-reveals-new-cyber-week-all-time-high-314-9b-in-global-sales::3634781d,press,chunks=3,expected=3,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2024-12-04::salesforce-data-reveals-new-cyber-week-all-time-high-314-9b-in-global-sales::665ada5f,press,chunks=3,expected=3,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2024-12-17::introducing-agentforce-2-0-the-digital-labor-platform-for-building-a-limitless-w::601f3f45,press,chunks=7,expected=7,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2024-12-17::introducing-agentforce-2-0-the-digital-labor-platform-for-building-a-limitless-w::64bc03ee,press,chunks=7,expected=7,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2024-12-17::introducing-agentforce-2-0-the-digital-labor-platform-for-building-a-limitless-w::96d74ad9,press,chunks=7,expected=7,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2025-01-06::holiday-shoppers-spend-a-record-1-2t-online-salesforce-data-shows::63c14f26,press,chunks=3,expected=3,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2025-01-06::holiday-shoppers-spend-a-record-1-2t-online-salesforce-data-shows::d9f3e8b8,press,chunks=3,expected=3,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2025-01-06::news-details::ec6a2e76,press,chunks=3,expected=3,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2025-01-10::salesforce-unveils-agentforce-for-retail-to-boost-productivity-with-digital-labo::9a230d93,press,chunks=3,expected=4,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2025-01-10::salesforce-unveils-agentforce-for-retail-to-boost-productivity-with-digital-labo::afcc9d02,press,chunks=3,expected=4,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2025-01-31::news-details::9711c8f6,press,chunks=15,expected=15,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2025-02-05::salesforce-appoints-robin-washington-as-president-and-chief-operating-and-financ::582c6316,press,chunks=2,expected=2,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2025-02-05::salesforce-appoints-robin-washington-as-president-and-chief-operating-and-financ::a014cf0d,press,chunks=2,expected=2,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2025-02-10::salesforce-announces-500m-investment-in-saudi-arabia-to-drive-ai-innovation-and-::0104255e,press,chunks=2,expected=2,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2025-02-10::salesforce-announces-500m-investment-in-saudi-arabia-to-drive-ai-innovation-and-::a3201e3f,press,chunks=2,expected=2,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2025-02-24::news-details::dbd232c6,press,chunks=4,expected=4,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2025-02-24::salesforce-and-google-bring-gemini-to-agentforce-enable-more-customer-choice-in-::9d966f4a,press,chunks=4,expected=4,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2025-02-24::salesforce-and-google-bring-gemini-to-agentforce-enable-more-customer-choice-in-::d17b9df1,press,chunks=4,expected=4,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2025-02-26::salesforce-announces-fourth-quarter-and-fiscal-year-2025-results::2fbf6534,press,chunks=2,expected=2,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2025-02-26::salesforce-announces-fourth-quarter-and-fiscal-year-2025-results::360ac7bd,press,chunks=2,expected=2,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2025-03-04::salesforce-launches-agentexchange-the-trusted-marketplace-for-agentforce::0b206de3,press,chunks=4,expected=4,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2025-03-04::salesforce-launches-agentexchange-the-trusted-marketplace-for-agentforce::72c218b5,press,chunks=4,expected=4,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2025-03-05::news-details::fc26a97d,press,chunks=5,expected=6,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2025-03-05::salesforce-launches-agentforce-2dx-new-capabilities-embed-proactive-agentic-ai-i::55567343,press,chunks=6,expected=6,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2025-03-05::salesforce-launches-agentforce-2dx-new-capabilities-embed-proactive-agentic-ai-i::5aab8dce,press,chunks=6,expected=6,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2025-03-11::salesforce-to-invest-usd-1b-in-singapore-over-5-years::8ca2c6e0,press,chunks=3,expected=3,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2025-03-11::salesforce-to-invest-usd-1b-in-singapore-over-5-years::e42cc2ef,press,chunks=3,expected=3,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2025-03-21::news-details::bd69b744,press,chunks=2,expected=2,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2025-05-08::salesforce-unveils-life-sciences-partner-network-to-accelerate-digital-labor-and::2b31368e,press,chunks=4,expected=4,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2025-05-08::salesforce-unveils-life-sciences-partner-network-to-accelerate-digital-labor-and::7ee62409,press,chunks=4,expected=4,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2025-05-15::salesforce-introduces-new-flexible-agentforce-pricing-to-accelerate-the-digital-::e5db6975,press,chunks=3,expected=4,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2025-05-15::salesforce-introduces-new-flexible-agentforce-pricing-to-accelerate-the-digital-::eb594704,press,chunks=3,expected=4,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2025-05-27::news-details::56b542ba,press,chunks=5,expected=5,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2025-05-27::salesforce-signs-definitive-agreement-to-acquire-informatica::a8a077f6,press,chunks=6,expected=6,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2025-05-27::salesforce-signs-definitive-agreement-to-acquire-informatica::d581dd97,press,chunks=6,expected=6,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2025-05-28::news-details::e526586e,press,chunks=13,expected=13,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2025-05-28::salesforce-partners-with-ferrari-to-elevate-the-client-039-s-journey-worldwide::0dc28eff,press,chunks=2,expected=2,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2025-05-28::salesforce-partners-with-ferrari-to-elevate-the-client-039-s-journey-worldwide::a82e32cb,press,chunks=2,expected=2,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2025-05-28::salesforce-reports-record-first-quarter-fiscal-2026-results-exceeds-guidance-acr::589e1fcc,press,chunks=3,expected=3,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2025-05-28::salesforce-reports-record-first-quarter-fiscal-2026-results-exceeds-guidance-acr::da0fa31e,press,chunks=3,expected=3,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2025-06-03::salesforce-and-liv-golf-announce-strategic-partnership-to-power-new-era-of-fan-a::5cc46f5c,press,chunks=2,expected=3,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2025-06-03::salesforce-and-liv-golf-announce-strategic-partnership-to-power-new-era-of-fan-a::e8628619,press,chunks=2,expected=3,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2025-06-16::salesforce-summer-039-25-release-new-agentforce-capabilities-and-product-enhance::0c4cc1db,press,chunks=2,expected=2,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2025-06-23::news-details::1ee81dec,press,chunks=5,expected=6,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2025-06-23::salesforce-launches-agentforce-3-to-solve-the-biggest-blockers-to-scaling-ai-age::03415d24,press,chunks=6,expected=6,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2025-06-23::salesforce-launches-agentforce-3-to-solve-the-biggest-blockers-to-scaling-ai-age::9aa8f4e2,press,chunks=6,expected=6,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2025-06-23::salesforce-launches-agentforce-3-to-solve-the-biggest-blockers-to-scaling-ai-age::b1bdb2c2,press,chunks=6,expected=6,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2025-07-09::salesforce-appoints-amy-chang-and-david-b-kirk-to-its-board-of-directors::62a8e699,press,chunks=2,expected=2,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2025-07-09::salesforce-appoints-amy-chang-and-david-b-kirk-to-its-board-of-directors::cee511f3,press,chunks=2,expected=2,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2025-08-19::new-ways-to-pay-make-it-easier-than-ever-to-get-started-with-agentforce::d1363ec8,press,chunks=2,expected=2,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2025-08-19::salesforce-launches-agentforce-for-public-sector-to-take-on-time-consuming-gover::52d88fcc,press,chunks=4,expected=4,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2025-08-20::from-research-to-runtime-delivering-enterprise-ai-with-confidence::82cd1c96,press,chunks=3,expected=3,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2025-08-21::how-agentic-ai-can-help-overcome-the-child-welfare-information-crisis::4c43853a,press,chunks=4,expected=5,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2025-08-21::manufacturers-gain-new-ai-workforce-salesforce-s-agentforce-for-manufacturing-op::9ce1b982,press,chunks=3,expected=4,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2025-08-26::in-the-agentic-era-human-imagination-must-shape-the-jobs-of-tomorrow::ffd5c276,press,chunks=6,expected=6,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2025-08-26::salesforce-life-sciences-cloud-now-selected-by-more-than-70-industry-leading-cus::ca509334,press,chunks=4,expected=4,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2025-08-27::salesforce-ai-research-advances-the-agentic-enterprise-by-simulating-enterprise-::c5c7863d,press,chunks=3,expected=3,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2025-08-28::speaking-ai-why-fluency-is-the-next-essential-skill-for-workers::84dcf885,press,chunks=2,expected=2,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2025-09-02::salesforce-quarterly-highlights-fy26-q2-product-releases-and-corporate-announcem::ea02411d,press,chunks=4,expected=4,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2025-09-03::news-details::2014af2d,press,chunks=15,expected=15,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2025-09-03::salesforce-reports-record-second-quarter-fiscal-2026-results::43678369,press,chunks=2,expected=3,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2025-09-03::salesforce-reports-record-second-quarter-fiscal-2026-results::d558c08c,press,chunks=2,expected=3,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2025-09-05::why-agentic-ai-requires-a-smarter-cloud-infrastructure::9780ec57,press,chunks=2,expected=3,adj_jaccard_median=NA,boundary_alignment=NA
crm::product::unknown::agentforce-the-ai-agent-platform::c8dd3707,product,chunks=4,expected=4,adj_jaccard_median=NA,boundary_alignment=NA
crm::product::unknown::salesforce-data-cloud::ceadcc95,product,chunks=2,expected=2,adj_jaccard_median=NA,boundary_alignment=NA
crm::product::unknown::what-is-salesforce::9818feb8,product,chunks=2,expected=2,adj_jaccard_median=NA,boundary_alignment=NA
crm::wiki::unknown::salesforce-wikipedia::6b727edd,wiki,chunks=20,expected=20,adj_jaccard_median=NA,boundary_alignment=NA
